job_name,company_name,salary,work_area,city,education,work_year,issue_date,source,skill_requirements,tech_tags,job_url
需求分析工程师,深圳市南电云商有限公司,1-1.8万,深圳·福田·福田街道,深圳,本科,1-3年,7月26日,zhilian_direct,职位描述 金融项目 银行项目 Axure Visio 墨刀 产品设计 保险 软件/IT服务 银行 证券/期货 1、3-5 年金融行业（银行、保险、证券）IT从业经验，有2年以上移动端项目产品设计经验； 2、 熟练使用墨刀、Visio、Axure 等设计软件； 3、 较强逻辑分析能力和文档编写能力，良好的沟通能力，工作细致有责任心； 4、 有AI应用项目需求分析经验者及擅长使用AI工具辅助需求分析者优先。 工作地点 深圳福田区福华三路100号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"金融项目,银行项目,Axure,Visio,墨刀,产品设计",http://www.zhaopin.com/jobdetail/CC255244630J40923365712.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
需求分析工程师-电子档案-天津产品部,紫光软件,9000-13000元,天津·东丽·华明,天津,本科,1-3年,7月26日,zhilian_direct,岗位职责： 1、深入分析调研用户及业务需求，通过需求梳理完成产品功能的提炼； 2、绘制产品原型图，梳理产品流程，并撰写详细的产品需求文档； 3、推动产品开发进度，协调UI、开发、运营等资源，确保产品按计划开发和发布； 4、参与关键项目的实施，收集分析用户反馈，挖掘需求，持续优化产品。 任职资格： 1、本科及以上学历，具备三年以上的产品设计开发工作经验； 2、具备大型软件产品的需求分析和设计经验，曾负责产品或功能界面设计，并能3、与UI/UE设计师有效沟通； 4、理解OA、ERP等企业信息化产品的业务需求，熟悉用户体验和交互设计理论； 5、熟练使用Axure、Balsamiq Mockups等原型设计工具。 职位福利： 我们提供五险一金、年底双薪、带薪年假、定期体检、节日福利、周末双休、全额公积金等福利，且本职位无需出差。 工作地点 天津东丽区空港商务园西区-3栋五层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Axure,墨刀,政务项目,产品设计,原型设计",http://www.zhaopin.com/jobdetail/CC137238250J40730602606.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
系统运营与需求分析工程师,润建股份,6000-7000元,海口·秀英·西秀,海口,本科,3-5年,7月26日,zhilian_direct,"职位描述 能源项目 电力项目 物联网项目 Axure Visio SQL Java 原型设计 产业互联网平台 软件/IT服务 电力/水利/热力/燃气 1、负责电网内部系统的具体运营工作，协助业务部门提升系统的实用化水平，跟进和协助系统各项业务指标的管控工作等； 2、负责接收用户提出的问题以及问题梳理，给出初步解决方案；负责跟踪问题处理进度，推进问题解决； 3、负责对用户提出的共性问题、系统使用情况、系统日常运行情况、系统埋点和监控等数据进行梳理和总结，同时协助向用户进行系统体验调研，提炼高价值需求，并协助业务部门推进需求的落地； 4、负责协助业务部门管理信息化项目，保证项目按时按质交付； 5、完成客户、公司领导安排的其他工作。 岗位要求： 1.具备电网信息化系统推广实施经验优先； 2.熟悉JAVA等编程语言、主流关系数据库及SQL语言、Unix/Linux环境及常用命令者优先； 3、具备电网信息化系统推广实施经验优先； 4、熟悉JAVA等编程语言、主流关系数据库及SQL语言、Unix/Linux环境及常用命令者优先； 5、具备基本的电网业务知识，了解安全生产及项目管理等相关电网业务； 6、具备信息系统运维或运营、问题分析和处置、用户体验优化的经验和能力，具有良好的业务理解能力； 7、熟练使用办公软件,例如Office（Excel、Word、PPT）等； 8、有良好的逻辑思维能力,较强的抽象、概括、总结能力；有良好的沟通交流能力,善于主动思考和行动,乐于解决具有挑战性的问题,对待技术有强烈兴趣； 9、工作认真、细心严谨,具备较强的学习能力和责任心,具有良好的工作习惯,能自我激励,勤奋好学,善于沟通与团队协作； 10、计算机科学、软件工程、信息技术或相关领域的本科及以上学历。 备注： 1、现场面试，面试地点：海口西海岸南网综合能源大厦； 目前办公地址以海南电网（海府路）或海口供电局（大同路）两个地点，后续可能还会增加儋州、琼海、三亚供电局等。 2、非纯运维工作，侧重系统的实用化和使用推广，有需求分析经验；如果是需求分析人员，有技术背景的也是很匹配的 工作地点 海口秀英区南方电网综合能源大厦15楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报","能源项目,电力项目,物联网项目,Axure,Visio,SQL,Java,原型设计",http://www.zhaopin.com/jobdetail/CC202740210J41022145304.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
需求分析工程师 (MJ000250),江苏保旺达软件技术有限公司,2-2.5万,南京·建邺·沙洲,南京,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1、负责 4A 统一身份认证、堡垒机安全运维类项目全流程需求工作，对接客户、实施、研发团队开展需求调研、需求梳理、方案沟通、需求评审、需求变更管控； 2、输出需求规格说明书、原型、业务流程图等各类需求文档，推动需求落地，跟进研发迭代，协调解决项目过程中的需求分歧； 3、兼顾安全运维类产品规划工作，收集行业客户痛点、竞品信息，梳理产品优化需求，参与产品版本规划、功能迭代设计； 4、梳理典型业务场景，持续优化需求交付规范，支撑研发项目有序推进。 任职要求： 1、熟悉 4A 统一身份管理、堡垒机、运维安全管控、权限管理类产品业务优先，了解身份认证、访问控制、审计运维相关业务场景； 2、具备独立需求调研、方案沟通能力，能够精准拆解客户需求，区分项目定制需求与通用产品需求；熟练输出需求文档、业务原型、流程图； 工作地点 南京建邺区万得大厦A座13楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,运营商,http://www.zhaopin.com/jobdetail/CC422718910J40877399514.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
需求分析工程师,马尔叮叮(大连)国际信息技术咨询有限公司,8000-12000元,大连·甘井子·泉水,大连,本科,3-5年,7月26日,zhilian_direct,职位描述 互联网生活服务(O2O) 一、工作内容： 1.负责产品需求调研、分析与挖掘，结合竞品分析、数据分析输出专业需求分析报告，区分真需求与伪需求； 2.主导需求优先级排序，撰写高质量PRD、绘制原型，明确需求边界与验收标准； 3.协调研发、设计、测试等跨团队，推动需求落地，跟踪上线效果，联动运营优化迭代； 4.沉淀需求管理方法论，赋能初级需求分析师，规范团队需求管理流程。 二、任职要求： 1. 本科及以上学历，计算机、产品相关专业优先 2.3-5年及以上C端互联网产品需求分析经验，有成熟C端产品完整迭代经验者加分； 具备极强的用户洞察、逻辑分析与跨团队推动能力，能独立负责核心模块需求全流程。 工作地点 大连甘井子区泉水a3区1-5 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,互联网生活服务(O2O),http://www.zhaopin.com/jobdetail/CCL1490704570J40833216716.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
系统需求分析工程师,宏源豪实业(深圳)有限公司,9000-14000元·13薪,广州·越秀·洪桥,广州,本科,1-3年,7月26日,zhilian_direct,职位描述 跨团队协调沟通 工作职责 1. 深度参与人工智能项目全流程，负责需求调研、分析与梳理，输出结构化的需求规格说明书。 2. 主导需求评审与确认，协调产品、研发、算法团队对齐目标，解决需求冲突与模糊点。 3. 跟踪需求落地进度，验证功能实现与需求的一致性，保障项目交付质量。 4. 沉淀需求分析方法论，优化需求管理流程，提升团队需求处理效率。 任职要求 1. 本科及以上学历。 2. 具备系统需求分析经验，有AI项目（如机器学习平台、智能决策系统）需求分析经验者优先。 3. 能够适应市场及业务快速变化与发展的需要。 4. 具备优秀的沟通协调能力与逻辑思维，能快速理解复杂业务场景并转化为技术语言。 1. 薪酬福利：提供食宿、带薪年假、节假日福利、五险一金、餐补房补交通补贴、年底双薪、项目奖金 2. 排班信息：周末双休，早9晚6 奖金绩效 业绩奖金，餐补房补交通补贴，年底双薪 工作地点 广州越秀区金安大厦14楼E室 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,跨团队协调沟通,http://www.zhaopin.com/jobdetail/CC832070960J40790266806.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
软件需求分析工程师,北京蓝深大业计算机网络有限公司,1-1.5万,北京·海淀·羊坊店,北京,本科,3-5年,7月26日,zhilian_direct,岗位职责 对接业务场景的需求调研，梳理业务流程与规则痛点，输出标准化的需求调研纪要。 结合行业规范及客户建设要求与系统技术实现能力，将零散的业务需求转化为逻辑严谨、边界清晰的软件需求规格说明书，配套输出业务流程图、用例图等可视化交付物。 对接产品、开发、测试团队完成需求评审，对开发团队进行业务规则与需求细节的交底，全程跟进需求落地过程，及时响应开发阶段的需求疑问。 参与UAT测试环节，协助客户完成测试用例验证，跟进测试过程中的需求偏差修正，保障最终交付功能完全匹配业务预期。 搭建项目需求跟踪矩阵，全生命周期管理需求变更，评估变更对项目进度、成本的影响，同步所有项目相关方，避免需求蔓延。 收集行业通用需求模板，梳理常见业务场景的需求规范，提升团队同类项目的需求交付效率。 任职资格 熟练掌握Axure RP、Visio、XMind等主流原型与流程图制作工具，具备基础的UI交互设计能力，可独立输出符合通信行业使用习惯的高完成度原型与需求文档。 熟练掌握标准软件需求工程方法论，可独立完成从需求调研、分析建模到落地验证的全流程工作，具备3年及以上通信或相关行业软件需求分析经验。 具备优秀的逻辑拆解能力，可快速梳理复杂通信业务的数据流与交互逻辑，精准识别需求环节潜藏的逻辑漏洞与合规风险。 熟练使用Office全系列办公软件，可独立输出高质量的需求规格说明书、验收报告等正式文档，完全满足客户文档规范要求。 具备极强的跨角色沟通协调能力，可精准对齐客户人员、内部研发团队的差异化诉求，高效推动各方达成需求共识。 具备良好的团队协作意识，工作严谨细致，抗压能力突出，主动跟进需求落地全流程，保障项目节点按期顺利推进。 本科及以上学历，计算机、通信工程、软件工程、信息管理等相关专业。 拥有通信运营商体系项目落地经验者优先。 工作地点 北京海淀区京门大厦 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"通信项目,Axure,Visio",http://www.zhaopin.com/jobdetail/CC000133900J40879335705.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
产品需求分析工程师,思特奇,1.3-1.8万·13薪,南宁·良庆·良庆镇,南宁,本科,3-5年,7月26日,zhilian_direct,职位描述 通信运营商/电信增值服务 计算机软件 云计算 加入你将： 1、负责对应产品的需求调研、创新策划、产品规划、产品运营等工作，形成产品需求文档和原型设计 ； 2、负责产品运营，对产品推广情况、使用情况、用户意见等进行收集分析，促进产品持续优化，评定产品状态，进行生命周期管； 3、负责配合客户年度规划，制定产品年度规划建设内容。 如果你是： 1、精通需求原型设计工具，如：Axure等 ； 2、本科以上学历，2年以上工作经验，曾有过电信行业产品管理经验优先 ； 3、具有较强的需求分析与设计能力，能带头完成客户需求调研、编写需求解决方案； 4、能够对接设计与开发人员，实现客户需求的完整转述 ； 5、具备良好的职业道德与素养，愿意分享和承担责任，能带领团队。 工作地点 南宁良庆区五象绿地中心2号楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"通信运营商/电信增值服务,云计算",http://www.zhaopin.com/jobdetail/CC120747250J40843511711.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
售前需求分析工程师,湖北楚大智能装备股份有限公司,5000-8000元,荆门·掇刀区·兴隆街道,荆门,本科,1-3年,7月26日,zhilian_direct,岗位职责： 1 需求调研：能独立设计调研方案（如问卷、访谈提纲），深入客户业务场景（如制造业生产），挖掘显性需求与隐性需求。 2 需求分析与转化：能将客户业务需求转化为信息化系统需求，确保需求符合项目目标与资源约束。 3 需求文档编写：能输出标准化需求文档，包括需求规格说明书（SRS）、原型设计；文档需逻辑清晰、表述准确，符合研发团队的阅读习惯。 工作地点 掇刀区湖北省荆门市高新区荆南大道1号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"云计算,工业自动化/机器人",http://www.zhaopin.com/jobdetail/CC385262920J40837302214.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
MES需求分析工程师（惠州or兰溪）,惠州锂威新能源科技有限公司,1-1.8万·15薪,惠州·博罗县·园洲镇,惠州,本科,3-5年,7月26日,zhilian_direct,职位描述 MES 制造业 工作职责: 1、统筹分工进行用户需求调研工作；根据用户需求提供解决方案，制订需求说明书；跟进项目开发进度，确保如期完成； 2、协调测试人员，进行项目测试，以满足用户需求；协助运维人员，进行项目培训、上线及异常反馈跟进； 3、统筹收集业务部门系统使用异常反馈；收集整理运维同事每日系统异常；统筹收集、整理并完善系统操作说明书； 4、软件项目整体计划制定、进度管理，需求分析等。 任职资格: 1) 本科以上，有MES需求收集、分析、方案设计经验。会使用工具化原型/流程梳理，熟练使用Office/Visio/Xmind/Axure/墨刀等工具，完成需求分析并输出PRD方案； 2) 熟悉项目管理、团队管理流程，且有相关经验； 3) 熟悉生产制造企业常用业务系统。 工作地点 博罗县惠州锂威新能源科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,MES,http://www.zhaopin.com/jobdetail/CC826128350J40820771116.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
中高级产品经理（需求分析工程师）,嘉驰英才(上海)信息科技有限公司合肥分公司,7000-11000元,南宁·良庆·良庆镇,南宁,本科,3-5年,7月26日,zhilian_direct,职位描述 软件产品 硬件产品 数据产品 数据治理产品 数据后台产品 大数据产品 AXURE、XMIND 计算机软件 软件/IT服务 （一）工作职责 1、负责产品规划、设计和产品生命周期管理，并保证其得到高效高质的项目执行； 2、负责用户调研、竞品分析和产品分析，追踪产品使用情况，持续迭代优化产品； 3、基于用户体验，结合用户需求和产品技术架构，完成产品/功能的概念设计和原型展示； 4、撰写详细的产品需求文档及原型设计文档，跟踪产品研发进度； 5、负责跟进产品开发进度，完成产品的开发、测试、版本管理，评审发布，产品上线等相关工作，确保各个环节按期实现，且质量符合预期； 6、完成上级交给的其他工作。 （二）任职要求（三方岗位） 1、3年以上产品设计工作经验； 2、熟练使用Axure、XMind/MindManager、PPT、Word或者Visio等工具，熟悉撰写需求和产品文档 3、有多个成熟产品的设计经验，从零到一的规划和设计能力； 4、具备良好的书面及口头表达能力，具备良好的分析能力、判断能力、文字表达能力，以及文案组织和编写能力； 5、具备良好的团队合作能力、高效解决问题的能力、自我管理能力； 6、热情、真诚，同理心，学习能力强，对新事物与有趣的事物充满好奇心。 7、派驻国企项目工作。 工作地点 南宁良庆区体强路 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"软件产品,硬件产品,数据产品,数据治理产品,数据后台产品,大数据产品,AXURE、XMIND",http://www.zhaopin.com/jobdetail/CCL1369707180J40788385811.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
软件需求分析工程师,北京中软环球信息技术有限公司,1.2-1.4万,成都·龙泉驿·龙泉,成都,本科,3-5年,7月26日,zhilian_direct,职位描述 能源项目 SQL Axure Visio 需求分析 石油/石化 化工 1、具备极强的业务洞察能力，能从一线操作人员的碎片化反馈中提炼出本质需求，避免需求与实际生产场景脱节。 2、掌握结构化需求分析方法，能平衡业务诉求、技术可行性与生产安全要求，合理划分需求优先级，管控无效需求蔓延。 3、拥有跨角色沟通能力，可在不懂技术的炼化业务人员与不懂工艺的研发团队之间搭建共识桥梁，高效对齐需求细节 4、熟悉石化行业安全、环保相关监管规范，能在需求设计阶段提前规避合规风险，保障交付成果符合行业标准。 工作地点 龙泉驿区中国石油集团济柴动力有限公司(成都压缩机分公司) 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"能源项目,SQL,Axure,Visio,需求分析",http://www.zhaopin.com/jobdetail/CC281743630J40956980615.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
需求分析工程师-上海金融项目,深圳市睿服科技有限公司,1.3-1.4万,上海·浦东·陆家嘴,上海,本科,3-5年,7月26日,zhilian_direct,职位描述 金融项目 数据治理 数据模型设计 数据开发 计算机软件 1.掌握本服务工作所要求的专业知识及工作技能 2.能够承担相对独立模块的工作 3.敬业精神强，能够较好履行职责 4.相关从业年限不低于3年 5.具有统招大学本科及以上学历，计算机相关专业 岗位要求： 工具： 1.熟练使用原型设计工具Axure、墨刀、Xmind、Visio、Office等软件 2.熟练使用项目管理工具和文档管理工具，如JIRA、SVN等 知识： 1.熟悉开发语言、数据库等基础知识 2.熟悉软件交付和项目活动流程，熟悉敏捷开发流程 工作地点 浦东新区上海证券大厦浦东南路528号 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"金融项目,数据治理,数据模型设计,数据开发",http://www.zhaopin.com/jobdetail/CC603465980J40822072109.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
需求分析工程师,泰安市东信智联信息科技有限公司,8000-12000元,泰安·泰山区·泰前街道,泰安,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1、深度对接客户沟通调研，精准挖掘业务痛点、梳理核心诉求，提炼真实可落地需求。 2、将客户需求转化为标准化产品功能方案，明确功能逻辑、交互流程、状态联动与异常兜底，保障功能闭环、体验流畅易用。 3、协同研发、测试、UI 设计、项目管理等跨部门团队，推进需求评审、开发落地与联调验收，保障项目高效推进。 4、定期开展竞品分析，从功能架构、用户体验、商业模式、落地场景等多维度拆解，梳理产品优势与现存短板，输出优化方向。 5、独立输出高保真产品原型，编制规范、完整、可落地的需求规格说明书，支撑研发全流程落地。 6、快速了解现有产品业务逻辑与架构，主导产品优化、版本迭代与功能升级，持续打磨产品价值，赋能业务长效增长。 任职要求： 1、学历要求：本科及以上学历。 2、专业要求：计算机等相关专业，优秀者可放宽要求。 3、工作经验：具备5年及以上需求分析、产品经理等相关工作经验，至少全程参与 5个项目的规划、开发落地等核心工作。 4、工作能力要求： ①可独立完成业务调研、需求梳理、原型设计、输出 PRD / 需求规格说明书，熟练使用 Axure、XMind、Visio 等工具。 ②具备良好书面表达能力，可独立撰写立项方案、验收材料、需求规格说明书、功能清单等正式文档。 ③可对接业务方、研发、测试、运维、设计多方，协调推进项目迭代，具备完整项目闭环管控经验。 ④了解数据库基础、前后端开发逻辑，可与研发高效对接沟通；熟悉信息化系统整体架构，具备系统对接、数据交互方案设计能力；具备基础测试思维。 5、素养要求： ①逻辑清晰，沟通能力强。 ②具备极强的责任心，对待工作严谨细致。 ③拥有端正踏实的工作态度，执行力强，遇事不推诿。 6、备注： （1）简历投递需同步附上项目原型图链接、需求规格说明书等。 工作地点 泰山区泰安市东信智联信息科技有限公司 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"政务项目,硬件项目,产品设计,产品规划",http://www.zhaopin.com/jobdetail/CC250521080J40872741109.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
需求分析工程师,云南保山恒益实业集团有限公司,6000-10000元,昆明·西山·永昌,昆明,本科,1-3年,7月26日,zhilian_direct,岗位职责： 1. 负责公司项目及产品的需求收集、调研及需求分析，输出业务流程设计、原型设计、需求规格说明书等。 2. 负责对研发、测试人员进行需求规格设计交底，确保产品团队中各成员角色对需求及设计有充分的理解。 任职条件： 1. 计算机软件或信息管理等相关专业，本科以上学历、本科以上学历为佳； 2. 2年以上需求分析、设计工作经验； 3. 对客户需求有较强的理解力、分析能力、提炼能力，能抓住客户的意图来实现原型设计； 4. 熟练掌握Visio、Axure RP、MindManager等常用的设计工具； 5.有耐心、有责任心，工作积极主动，有良好的沟通、协调能力，有团队合作精神。 工作地点 昆明西山区螺蛳湾中心写字楼B栋21楼 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"政企项目,Axure,墨刀,产品规划,原型设计",http://www.zhaopin.com/jobdetail/CC890034530J40942924102.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
需求分析工程师-电子档案-产品部,紫光软件,1.1-1.6万·13薪,北京·海淀·清华园,北京,本科,3-5年,7月26日,zhilian_direct,岗位职责： 1、深入分析调研用户及业务需求，通过需求梳理完成产品功能的提炼； 2、绘制产品原型图，梳理产品流程，并撰写详细的产品需求文档； 3、推动产品开发进度，协调UI、开发、运营等资源，确保产品按计划开发和发布； 4、参与关键项目的实施，收集分析用户反馈，挖掘需求，持续优化产品。 任职资格： 1、本科及以上学历，具备三年以上的产品设计开发工作经验； 2、具备大型软件产品的需求分析和设计经验，曾负责产品或功能界面设计，并能3、与UI/UE设计师有效沟通； 4、理解OA、ERP等企业信息化产品的业务需求，熟悉用户体验和交互设计理论； 5、熟练使用Axure、Balsamiq Mockups等原型设计工具。 职位福利： 我们提供五险一金、年底双薪、带薪年假、定期体检、节日福利、周末双休、全额公积金等福利，且本职位无需出差。 工作地点 （中关村）北京市海淀区清华大学紫光大楼三层 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Axure,墨刀,产品规划,产品设计,原型设计",http://www.zhaopin.com/jobdetail/CC137238250J40438389406.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
需求分析工程师,天津市皓月科技有限公司,6000-8000元,天津·西青·张家窝,天津,大专,1-3年,7月26日,zhilian_direct,职位描述 Axure 墨刀 Visio 原型设计 需求分析管理 文档 产品规划 政务项目 计算机软件 产业互联网平台 信息安全 1.用户需求分析：充分调研了解客户的详细业务需求，帮助客户挖掘深层次的业务和管理需求，结合需求分析相关工具软件梳理用户的实际使用需求，最终形成需求规格说明书； 2.系统原型制作：根据用户需求制作完整版的系统原型，熟练运用Axure、墨刀、Visio、Xmind等设计工具制作系统原型； 3.项目文档编写：编写系统设计文档、用户手册、项目验收材料、培训手册和PPT等项目所需的文件； 4.辅助系统功能测试：按照与客户对接的需求内容，辅助测试和开发人员对系统进行功能测试。 岗位要求： 1.熟练使用Microsoft Word、Excel、PPT、Visio、Axure等软件。 2.具备良好的沟通与协调能力，有责任心。 3.有过政府政务类相关信息化项目经验者优先考虑。 职位福利：五险一金、交通补助、餐补、带薪年假、节日福利、周末双休 工作地点 天津西青区海泰创新基地B区8号楼1-201 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Axure,墨刀,Visio,原型设计,需求分析管理,文档,产品规划,政务项目",http://www.zhaopin.com/jobdetail/CC475250910J40343324702.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
产品需求分析工程师(大厂外包/双休）,河南诚猎人力资源有限公司,1.5-2.4万·13薪,西安·雁塔·漳浒寨,西安,本科,3-5年,7月26日,zhilian_direct,职位描述 Python SQL Java 英语 通信/网络设备 1、至少三年的需求分析经验，有过SE经验优先 2、至少3个相关项目经验 后端技术方向： 1、掌握Python/JAVA/JS/SQL/中的一种或多种 2、掌握主流关系型数据库和非关系型数据库的一种或多种 3、掌握后台服务/ETL/数据仓库主流开发框架和工具的一种或多种 基础能力要求： 1、思路非常清晰，，独立的疑难问题分析和解决能力。 2、强烈的团队协作能力，优秀的交流沟通能力； 3、有良好的职业素养，责任心强，精通软件行业基础流程规范、能够带领他人工作； 4、具备基本的英语听说读写能力，能与一线流畅英语沟通 奖金绩效 六险一金/双休/带薪年假 工作地点 雁塔区西安环普国际科技园. 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报 客户,"Python,SQL,Java,英语",http://www.zhaopin.com/jobdetail/CCL1483514250J40875607210.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
BA需求分析工程师,软通动力信息技术(集团)股份有限公司,1.2-1.5万,东莞·大岭山镇,东莞,本科,5-10年,7月26日,zhilian_direct,岗位职责： 1、需求分析：对接业务部门，独立完成需求调研、分析，撰写清晰的产品需求文档和功能设计方案； 2、方案设计与原型输出：使用原型设计工具，将需求转化为产品原型、交互流程及详细的PRD文档，确保技术团队可准确执行； 3、AI技术落地支持：结合业务场景，协助设计大模型、智能体等AI技术的应用方案，并跟进开发、测试到上线的全流程，确保功能按预期交付； 4、数据分析与迭代建议：收集上线后反馈与数据，进行效果分析，为产品功能优化提供依据和建议。 二、任职要求： 1、经验要求：有AI相关产品建设经验优先，参与过需求调研、分析、方案设计，有成功落地案例者优先； 2、能力要求：具备良好业务理解与沟通能力，能独立承担项目需求调研、需求分析、方案设计等。熟练使用Axure、Figma、墨刀等至少一种原型设计工具。熟悉ChatGPT、DeepSeek等常见AI工具，并能将其用于需求分析、文档撰写等实际工作提效。了解大模型、RAG、智能体等技术的典型应用场景，能将其与业务需求进行结合讨论。了解常见机器学习算法（如分类、聚类、Transformer）的基本原理及应用场景者优先。 工作地点 东莞华为三丫坡A区 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"AI,产品规划,竞品分析,产品设计",http://www.zhaopin.com/jobdetail/CC000544460J40804322516.htm?refcode=4019&srccode=401903&preactionid=7759db66-5f3c-4329-a25a-a18de43407c8
IT需求分析师,北京国盛鑫科技有限公司,9000-11000元,天津·河西·陈塘庄,Guangzhou,本科,1-3年,7月25日,zhilian,职位描述 Axure Visio SQL 产品规划 产品设计 原型设计 需求全生命周期管理 B端业务需求分析 跨部门协作推进 工作职责： 1. 深度对接业务部门，通过访谈、调研等方式挖掘并梳理核心需求，输出结构化的需求文档。 2. 负责需求的优先级评估与版本规划，协调产品、研发团队对齐目标，推动需求落地。 3. 参与系统测试与验收环节，验证需求实现效果，确保业务价值准确交付。 4. 建立需求管理规范，跟踪需求全生命周期，及时响应业务方的变更请求。 任职要求： 1. 本科及以上学历，计算机、软件工程或相关专业优先。 2. 具备1年以上IT需求分析经验，熟悉产业互联网或B端业务场景者优先。 3. 精通需求分析方法论，能独立完成从需求调研到PRD撰写的全流程工作。 4. 具备良好的跨部门沟通能力与逻辑思维，能快速理解复杂业务逻辑并转化为技术语言。 5. 掌握Axure、Visio等原型设计工具，具备基础的SQL查询能力者优先。 工作地点 天津市-河西区-嘉江道与内江路交叉口 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"Axure,Visio,SQL,产品规划,产品设计,原型设计,需求全生命周期管理,B端业务需求分析,跨部门协作推进",http://www.zhaopin.com/jobdetail/CCL1509734300J40790815706.htm?refcode=4019&srccode=401901&preactionid=f4b46b74-141f-4704-891a-e653a2596530
需求分析师,江西蔚视界科技有限公司,8000-10000元,深圳·南山·粤海,Guangzhou,大专,1-3年,4月25日,zhilian,职位描述 产品规划 原型设计 需求收集与分析 市场趋势研究 用户反馈监控 岗位内容： 1. 负责产品需求收集和分析，对现有业务进行深入挖掘与研究，并结合市场趋势与用户需求，提出改进方案。 2. 参与制定产品规划、原型设计，并跟踪开发进度，确保项目按时交付。 3. 协同测试和市场团队，完成产品上线前后的测试和验收，并持续监控用户反馈和数据情况，为产品迭代提供支持。 任职要求： 1. 有1年以上需求分析或产品经理相关工作经验，熟悉敏捷开发流程和产品生命周期管理。 2. 熟练使用至少一款需求分析工具和项目协同工具，具备良好的文档编写能力和英语读写能力。 3. 具备出色的分析能力和判断能力，能够深入了解用户需求和竞争对手情况，并提出切实可行的解决方案。 工作地点 广东省深圳市南山区武汉大学深圳产学研大楼南山科技园A301 以担保或任何理由索要财物，扣押证照，均涉嫌违法。一经发现， 立即举报,"产品规划,原型设计,需求收集与分析,市场趋势研究,用户反馈监控",http://www.zhaopin.com/jobdetail/CCL1513177690J40840901909.htm?refcode=4019&srccode=401901&preactionid=f4b46b74-141f-4704-891a-e653a2596530
